You entered a buffer length of 20
gx: 0.116699, gy: 0.229980, gz: 0.299805, avg x: 0.023549, avg y: 0.097519, avg z: -0.000933, x_min: -0.801172, x_max: 0.637695, y_min: -0.183683, y_max: 0.368652, z_min: -0.259404, z_max: 0.299805
gx: 0.181152, gy: -0.012213, gz: 0.449707, avg x: 0.072665, avg y: 0.086898, avg z: 0.018623, x_min: -0.696629, x_max: 0.637695, y_min: -0.183683, y_max: 0.368652, z_min: -0.259404, z_max: 0.449707
gx: 0.101074, gy: -0.230093, gz: 0.179199, avg x: 0.112551, avg y: 0.075052, avg z: 0.023701, x_min: -0.611138, x_max: 0.637695, y_min: -0.230093, y_max: 0.368652, z_min: -0.259404, z_max: 0.449707
gx: 0.198242, gy: -0.341964, gz: -0.316561, avg x: 0.148061, avg y: 0.059151, avg z: 0.004333, x_min: -0.611138, x_max: 0.637695, y_min: -0.341964, y_max: 0.368652, z_min: -0.316561, z_max: 0.449707
gx: 0.438477, gy: -0.315095, gz: -0.540303, avg x: 0.165664, avg y: 0.045155, avg z: -0.025075, x_min: -0.611138, x_max: 0.637695, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: 0.559570, gy: -0.301905, gz: -0.491451, avg x: 0.170766, avg y: 0.034261, avg z: -0.046057, x_min: -0.611138, x_max: 0.637695, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: 0.710938, gy: -0.204201, gz: -0.323400, avg x: 0.178505, avg y: 0.030401, avg z: -0.056707, x_min: -0.611138, x_max: 0.710938, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: 0.707031, gy: -0.119199, gz: -0.248657, avg x: 0.182656, avg y: 0.033625, avg z: -0.057611, x_min: -0.611138, x_max: 0.710938, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: 0.544434, gy: -0.053249, gz: -0.117733, avg x: 0.178481, avg y: 0.033796, avg z: -0.050527, x_min: -0.611138, x_max: 0.710938, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: 0.145508, gy: 0.056641, gz: 0.026367, avg x: 0.153872, avg y: 0.033625, avg z: -0.036971, x_min: -0.611138, x_max: 0.710938, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: -0.065462, gy: 0.121582, gz: 0.116211, avg x: 0.119031, avg y: 0.034846, avg z: -0.022172, x_min: -0.611138, x_max: 0.710938, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: -0.351734, gy: 0.199707, gz: 0.306641, avg x: 0.073710, avg y: 0.047323, avg z: -0.003225, x_min: -0.611138, x_max: 0.710938, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: -0.500733, gy: 0.238281, gz: 0.402832, avg x: 0.026798, avg y: 0.062657, avg z: 0.019652, x_min: -0.611138, x_max: 0.710938, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: -0.692233, gy: 0.367188, gz: 0.369141, avg x: -0.016187, avg y: 0.079307, avg z: 0.037963, x_min: -0.692233, x_max: 0.710938, y_min: -0.341964, y_max: 0.368652, z_min: -0.540303, z_max: 0.449707
gx: -0.683928, gy: 0.393066, gz: 0.303711, avg x: -0.036021, avg y: 0.086875, avg z: 0.050097, x_min: -0.692233, x_max: 0.710938, y_min: -0.341964, y_max: 0.393066, z_min: -0.540303, z_max: 0.449707
gx: -0.571080, gy: 0.243164, gz: 0.246094, avg x: -0.037975, avg y: 0.082872, avg z: 0.054809, x_min: -0.692233, x_max: 0.710938, y_min: -0.341964, y_max: 0.393066, z_min: -0.540303, z_max: 0.449707
gx: -0.301905, gy: 0.010742, gz: 0.213867, avg x: -0.022514, avg y: 0.066709, avg z: 0.058617, x_min: -0.692233, x_max: 0.710938, y_min: -0.341964, y_max: 0.393066, z_min: -0.540303, z_max: 0.449707
gx: -0.120176, gy: -0.079629, gz: 0.166992, avg x: -0.003046, avg y: 0.045101, avg z: 0.062304, x_min: -0.692233, x_max: 0.710938, y_min: -0.341964, y_max: 0.393066, z_min: -0.540303, z_max: 0.449707
gx: 0.208984, gy: -0.278456, gz: 0.003418, avg x: 0.028776, avg y: 0.012746, avg z: 0.059325, x_min: -0.692233, x_max: 0.710938, y_min: -0.341964, y_max: 0.393066, z_min: -0.540303, z_max: 0.449707
gx: 0.375000, gy: -0.446507, gz: -0.299463, avg x: 0.049993, avg y: -0.026108, avg z: 0.037321, x_min: -0.692233, x_max: 0.710938, y_min: -0.446507, y_max: 0.393066, z_min: -0.540303, z_max: 0.449707
gx: 0.463867, gy: -0.501221, gz: -0.478261, avg x: 0.067351, avg y: -0.062668, avg z: -0.001582, x_min: -0.692233, x_max: 0.710938, y_min: -0.501221, y_max: 0.393066, z_min: -0.540303, z_max: 0.449707
gx: 0.596191, gy: -0.558378, gz: -0.574988, avg x: 0.088103, avg y: -0.089976, avg z: -0.052817, x_min: -0.692233, x_max: 0.710938, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.402832
gx: 0.660156, gy: -0.458720, gz: -0.490474, avg x: 0.116057, avg y: -0.101408, avg z: -0.086301, x_min: -0.692233, x_max: 0.710938, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.402832
gx: 0.527832, gy: -0.174890, gz: -0.150953, avg x: 0.132537, avg y: -0.093054, avg z: -0.078020, x_min: -0.692233, x_max: 0.710938, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.402832
gx: 0.196289, gy: 0.187500, gz: 0.127930, avg x: 0.120427, avg y: -0.067924, avg z: -0.044609, x_min: -0.692233, x_max: 0.710938, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.402832
gx: 0.082031, gy: 0.270508, gz: 0.238770, avg x: 0.096550, avg y: -0.039304, avg z: -0.008098, x_min: -0.692233, x_max: 0.710938, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.402832
gx: -0.192965, gy: 0.368652, gz: 0.401855, avg x: 0.051355, avg y: -0.010661, avg z: 0.028165, x_min: -0.692233, x_max: 0.707031, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.402832
gx: -0.712262, gy: 0.368652, gz: 0.725586, avg x: -0.019609, avg y: 0.013732, avg z: 0.076877, x_min: -0.712262, x_max: 0.660156, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.725586
gx: -0.869565, gy: 0.339844, gz: 0.809570, avg x: -0.090309, avg y: 0.033386, avg z: 0.123242, x_min: -0.869565, x_max: 0.660156, y_min: -0.558378, y_max: 0.393066, z_min: -0.574988, z_max: 0.809570
