You entered a buffer length of 20
gx: 0.217773, gy: -0.300440, gz: -0.179775, avg x: -0.095129, avg y: -0.043176, avg z: 0.026465, x_min: -0.718124, x_max: 0.217773, y_min: -0.429897, y_max: 0.691406, z_min: -0.311676, z_max: 0.541504
gx: 0.386719, gy: -0.086468, gz: -0.221299, avg x: -0.084313, avg y: -0.038852, avg z: 0.002876, x_min: -0.718124, x_max: 0.386719, y_min: -0.429897, y_max: 0.691406, z_min: -0.311676, z_max: 0.541504
gx: 0.584473, gy: 0.191895, gz: -0.206155, avg x: -0.063757, avg y: -0.018632, avg z: -0.027110, x_min: -0.718124, x_max: 0.584473, y_min: -0.429897, y_max: 0.691406, z_min: -0.311676, z_max: 0.541504
gx: 0.625000, gy: 0.257812, gz: -0.130435, avg x: -0.036144, avg y: 0.011039, avg z: -0.058485, x_min: -0.718124, x_max: 0.625000, y_min: -0.429897, y_max: 0.691406, z_min: -0.311676, z_max: 0.541504
gx: 0.453125, gy: 0.383789, gz: 0.270020, avg x: -0.008701, avg y: 0.051723, avg z: -0.072059, x_min: -0.718124, x_max: 0.625000, y_min: -0.422081, y_max: 0.691406, z_min: -0.311676, z_max: 0.453613
gx: 0.245117, gy: 0.509277, gz: 0.434570, avg x: 0.019334, avg y: 0.095311, avg z: -0.073011, x_min: -0.718124, x_max: 0.625000, y_min: -0.422081, y_max: 0.691406, z_min: -0.311676, z_max: 0.434570
gx: 0.023438, gy: 0.638184, gz: 0.646484, avg x: 0.053848, avg y: 0.125072, avg z: -0.052821, x_min: -0.718124, x_max: 0.625000, y_min: -0.422081, y_max: 0.691406, z_min: -0.311676, z_max: 0.646484
gx: -0.055691, gy: 0.662109, gz: 0.653320, avg x: 0.086969, avg y: 0.132884, avg z: -0.024647, x_min: -0.657059, x_max: 0.625000, y_min: -0.422081, y_max: 0.691406, z_min: -0.311676, z_max: 0.653320
gx: -0.268197, gy: 0.677246, gz: 0.600098, avg x: 0.106413, avg y: 0.135301, avg z: 0.003258, x_min: -0.451392, x_max: 0.625000, y_min: -0.422081, y_max: 0.691406, z_min: -0.311676, z_max: 0.653320
gx: -0.444064, gy: 0.573730, gz: 0.413086, avg x: 0.106779, avg y: 0.129418, avg z: 0.027015, x_min: -0.444064, x_max: 0.625000, y_min: -0.422081, y_max: 0.677246, z_min: -0.311676, z_max: 0.653320
gx: -0.362970, gy: 0.525879, gz: 0.229492, avg x: 0.105631, avg y: 0.127831, avg z: 0.042568, x_min: -0.444064, x_max: 0.625000, y_min: -0.422081, y_max: 0.677246, z_min: -0.311676, z_max: 0.653320
gx: 0.030273, gy: 0.399414, gz: -0.172936, avg x: 0.116695, avg y: 0.138377, avg z: 0.042691, x_min: -0.444064, x_max: 0.625000, y_min: -0.422081, y_max: 0.677246, z_min: -0.311676, z_max: 0.653320
gx: 0.258301, gy: 0.160156, gz: -0.395213, avg x: 0.131491, avg y: 0.149341, avg z: 0.033702, x_min: -0.444064, x_max: 0.625000, y_min: -0.422081, y_max: 0.677246, z_min: -0.395213, z_max: 0.653320
gx: -0.014656, gy: 0.000000, gz: -0.262335, avg x: 0.128366, avg y: 0.154641, avg z: 0.032847, x_min: -0.444064, x_max: 0.625000, y_min: -0.422081, y_max: 0.677246, z_min: -0.395213, z_max: 0.653320
gx: -0.286273, gy: -0.199316, gz: 0.046875, avg x: 0.106923, avg y: 0.150977, avg z: 0.050090, x_min: -0.444064, x_max: 0.625000, y_min: -0.422081, y_max: 0.677246, z_min: -0.395213, z_max: 0.653320
gx: -0.372741, gy: -0.336102, gz: 0.111328, avg x: 0.079057, avg y: 0.140499, avg z: 0.071241, x_min: -0.444064, x_max: 0.625000, y_min: -0.422081, y_max: 0.677246, z_min: -0.395213, z_max: 0.653320
gx: -0.340010, gy: -0.659502, gz: -0.002931, avg x: 0.051974, avg y: 0.116244, avg z: 0.081793, x_min: -0.444064, x_max: 0.625000, y_min: -0.659502, y_max: 0.677246, z_min: -0.395213, z_max: 0.653320
gx: -0.147044, gy: -0.730826, gz: -0.270640, avg x: 0.037175, avg y: 0.092428, avg z: 0.072706, x_min: -0.444064, x_max: 0.625000, y_min: -0.730826, y_max: 0.677246, z_min: -0.395213, z_max: 0.653320
gx: 0.329102, gy: -0.644846, gz: -0.698095, avg x: 0.049773, avg y: 0.081290, avg z: 0.037899, x_min: -0.444064, x_max: 0.625000, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: 0.684570, gy: -0.317049, gz: -0.672692, avg x: 0.077312, avg y: 0.085247, avg z: 0.009638, x_min: -0.444064, x_max: 0.684570, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: 0.724609, gy: -0.124084, gz: -0.529067, avg x: 0.102654, avg y: 0.094065, avg z: -0.007826, x_min: -0.444064, x_max: 0.724609, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: 0.504883, gy: 0.278809, gz: -0.037128, avg x: 0.108562, avg y: 0.112329, avg z: 0.001382, x_min: -0.444064, x_max: 0.724609, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: 0.166016, gy: 0.380859, gz: 0.288086, avg x: 0.087639, avg y: 0.121777, avg z: 0.026094, x_min: -0.444064, x_max: 0.724609, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: -0.552027, gy: 0.312988, gz: 0.604492, avg x: 0.028788, avg y: 0.124536, avg z: 0.062841, x_min: -0.552027, x_max: 0.724609, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: -0.845139, gy: 0.252930, gz: 0.515137, avg x: -0.036125, avg y: 0.117993, avg z: 0.075097, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: -0.662433, gy: 0.473633, gz: 0.133301, avg x: -0.081503, avg y: 0.116211, avg z: 0.060033, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: -0.486566, gy: 0.566895, gz: 0.057129, avg x: -0.107003, avg y: 0.112646, avg z: 0.030565, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.653320
gx: 0.076660, gy: 0.623535, gz: -0.022960, avg x: -0.100385, avg y: 0.110717, avg z: -0.003249, x_min: -0.845139, x_max: 0.724609, y_min: -0.730826, y_max: 0.677246, z_min: -0.698095, z_max: 0.604492
