You entered a buffer length of 20
gx: -0.004885, gy: 0.002930, gz: -0.006351, avg x: -0.002809, avg y: -0.000342, avg z: -0.006522, x_min: -0.006351, x_max: 0.002441, y_min: -0.001954, y_max: 0.004883, z_min: -0.007816, z_max: -0.005374
gx: -0.006839, gy: 0.000977, gz: -0.006351, avg x: -0.003078, avg y: -0.000245, avg z: -0.006522, x_min: -0.006839, x_max: 0.002441, y_min: -0.001954, y_max: 0.004883, z_min: -0.007816, z_max: -0.005374
gx: -0.004397, gy: -0.000489, gz: -0.006839, avg x: -0.003322, avg y: -0.000220, avg z: -0.006546, x_min: -0.006839, x_max: 0.002441, y_min: -0.001954, y_max: 0.004883, z_min: -0.007816, z_max: -0.005374
gx: 0.002930, gy: -0.000489, gz: -0.005374, avg x: -0.002907, avg y: -0.000220, avg z: -0.006473, x_min: -0.006839, x_max: 0.002930, y_min: -0.001954, y_max: 0.004883, z_min: -0.007816, z_max: -0.005374
gx: 0.002930, gy: -0.002931, gz: -0.006351, avg x: -0.002589, avg y: -0.000318, avg z: -0.006522, x_min: -0.006839, x_max: 0.002930, y_min: -0.002931, y_max: 0.004883, z_min: -0.007816, z_max: -0.005374
gx: 0.000488, gy: -0.004397, gz: -0.005862, avg x: -0.002589, avg y: -0.000465, avg z: -0.006546, x_min: -0.006839, x_max: 0.002930, y_min: -0.004397, y_max: 0.004883, z_min: -0.007816, z_max: -0.005374
gx: -0.002443, gy: -0.006351, gz: -0.005374, avg x: -0.002834, avg y: -0.000758, avg z: -0.006497, x_min: -0.006839, x_max: 0.002930, y_min: -0.006351, y_max: 0.004883, z_min: -0.007816, z_max: -0.005374
gx: -0.004397, gy: -0.007328, gz: -0.007328, avg x: -0.003029, avg y: -0.001051, avg z: -0.006571, x_min: -0.006839, x_max: 0.002930, y_min: -0.007328, y_max: 0.004883, z_min: -0.007816, z_max: -0.005374
gx: -0.001954, gy: 0.000000, gz: -0.008305, avg x: -0.002980, avg y: -0.000977, avg z: -0.006595, x_min: -0.006839, x_max: 0.002930, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: -0.007816, gy: -0.000489, gz: -0.006839, avg x: -0.003249, avg y: -0.000929, avg z: -0.006595, x_min: -0.007816, x_max: 0.002930, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: -0.009282, gy: -0.001466, gz: -0.006351, avg x: -0.003615, avg y: -0.000977, avg z: -0.006595, x_min: -0.009282, x_max: 0.002930, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: 0.004395, gy: -0.000977, gz: -0.005862, avg x: -0.003127, avg y: -0.000953, avg z: -0.006546, x_min: -0.009282, x_max: 0.004395, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: 0.006836, gy: -0.000977, gz: -0.007816, avg x: -0.002467, avg y: -0.000953, avg z: -0.006571, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: -0.001466, gy: -0.000977, gz: -0.006351, avg x: -0.002394, avg y: -0.001002, avg z: -0.006522, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: 0.000977, gy: -0.000489, gz: -0.005374, avg x: -0.002345, avg y: -0.000977, avg z: -0.006473, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: 0.004395, gy: -0.000977, gz: -0.007816, avg x: -0.001857, avg y: -0.000929, avg z: -0.006497, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
gx: 0.005859, gy: -0.001466, gz: -0.006839, avg x: -0.001271, avg y: -0.000977, avg z: -0.006497, x_min: -0.009282, x_max: 0.006836, y_min: -0.007328, y_max: 0.004883, z_min: -0.008305, z_max: -0.005374
