You entered a buffer length of 20
gx: 0.028320, gy: 0.011230, gz: -0.018564, avg x: -0.014514, avg y: 0.002187, avg z: -0.012027, x_min: -0.119199, x_max: 0.079102, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.050781, gy: 0.060059, gz: -0.041036, avg x: -0.015930, avg y: 0.003286, avg z: -0.011319, x_min: -0.119199, x_max: 0.050781, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.062012, gy: 0.059082, gz: -0.025892, avg x: -0.015100, avg y: 0.005483, avg z: -0.009853, x_min: -0.119199, x_max: 0.062012, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.077637, gy: 0.016602, gz: 0.030762, avg x: -0.012293, avg y: 0.006362, avg z: -0.005775, x_min: -0.119199, x_max: 0.077637, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.067871, gy: -0.004397, gz: 0.054199, avg x: -0.008655, avg y: 0.007266, avg z: -0.001282, x_min: -0.119199, x_max: 0.077637, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.059570, gy: -0.028334, gz: 0.071777, avg x: -0.004772, avg y: 0.007461, avg z: 0.003308, x_min: -0.119199, x_max: 0.077637, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.054688, gy: -0.032731, gz: 0.068359, avg x: -0.000060, avg y: 0.008414, avg z: 0.005310, x_min: -0.119199, x_max: 0.077637, y_min: -0.065950, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.054688, gy: -0.034196, gz: 0.046875, avg x: 0.003603, avg y: 0.010002, avg z: 0.005140, x_min: -0.119199, x_max: 0.077637, y_min: -0.065462, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.060547, gy: -0.011236, gz: -0.010747, avg x: 0.007094, avg y: 0.012713, avg z: 0.002332, x_min: -0.119199, x_max: 0.077637, y_min: -0.048852, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.108398, gy: 0.010254, gz: -0.025892, avg x: 0.013149, avg y: 0.015668, avg z: 0.000305, x_min: -0.119199, x_max: 0.108398, y_min: -0.048852, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.123047, gy: 0.029785, gz: -0.031754, avg x: 0.022233, avg y: 0.017841, avg z: 0.001013, x_min: -0.119199, x_max: 0.123047, y_min: -0.048852, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.136230, gy: 0.034180, gz: -0.037128, avg x: 0.033075, avg y: 0.019209, avg z: 0.003040, x_min: -0.119199, x_max: 0.136230, y_min: -0.048852, y_max: 0.090332, z_min: -0.127015, z_max: 0.087402
gx: 0.146484, gy: 0.054199, gz: -0.043967, avg x: 0.046359, avg y: 0.018476, avg z: 0.007193, x_min: -0.085491, x_max: 0.146484, y_min: -0.048852, y_max: 0.090332, z_min: -0.095261, z_max: 0.087402
gx: 0.122070, gy: 0.055176, gz: -0.054226, avg x: 0.056737, avg y: 0.016718, avg z: 0.009244, x_min: -0.041524, x_max: 0.146484, y_min: -0.048852, y_max: 0.088379, z_min: -0.054226, z_max: 0.087402
gx: 0.118652, gy: 0.056152, gz: -0.042013, avg x: 0.064746, avg y: 0.015107, avg z: 0.009538, x_min: -0.013679, x_max: 0.146484, y_min: -0.048852, y_max: 0.080078, z_min: -0.054226, z_max: 0.087402
gx: 0.097168, gy: 0.038574, gz: 0.004395, avg x: 0.070288, avg y: 0.013032, avg z: 0.008610, x_min: 0.004883, x_max: 0.146484, y_min: -0.048852, y_max: 0.060059, z_min: -0.054226, z_max: 0.087402
gx: 0.056152, gy: 0.001465, gz: 0.033691, avg x: 0.072827, avg y: 0.010468, avg z: 0.007511, x_min: 0.004883, x_max: 0.146484, y_min: -0.048852, y_max: 0.060059, z_min: -0.054226, z_max: 0.087402
